Number of Task 2
---------------------------------------------------------------------------
0 Task 1 executes 
1 Task 1 executes 
2 Task 1 executes 
3 Task 1 executes 
4 Task 1 executes 
5 Task 1 executes 
6 Task 1 executes 
6 Task 1 completed 
7 Task 2 executes 
8 Task 2 executes 
9 Task 2 misses 
9 Task 1 executes 
10 Task 1 executes 
11 Task 1 executes 
12 Task 1 executes 
13 Task 1 executes 
14 Task 1 executes 
15 Task 1 executes 
15 Task 1 completed 
16 Task 2 executes 
17 Task 2 executes 
18 Task 2 misses 
18 Task 1 executes 
19 Task 1 executes 
20 Task 1 executes 
21 Task 1 executes 
22 Task 1 executes 
23 Task 1 executes 
24 Task 1 misses 
24 Task 2 executes 
25 Task 2 executes 
26 Task 2 executes 
27 Task 2 misses 
27 Task 1 executes 
28 Task 1 executes 
29 Task 1 executes 
30 Task 1 executes 
31 Task 1 executes 
32 Task 1 misses 
32 Task 2 executes 
33 Task 2 executes 
34 Task 2 executes 
35 Task 2 executes 
36 Task 2 misses 
36 Task 1 executes 
37 Task 1 executes 
38 Task 1 executes 
39 Task 1 executes 
40 Task 1 misses 
40 Task 2 executes 
41 Task 2 executes 
42 Task 2 executes 
43 Task 2 executes 
44 Task 2 executes 
45 Task 2 misses 
45 Task 1 executes 
46 Task 1 executes 
47 Task 1 executes 
48 Task 1 misses 
48 Task 2 executes 
49 Task 2 executes 
50 Task 2 executes 
51 Task 2 executes 
52 Task 2 executes 
53 Task 2 executes 
54 Task 2 misses 
54 Task 1 executes 
55 Task 1 executes 
56 Task 1 misses 
56 Task 2 executes 
57 Task 2 executes 
58 Task 2 executes 
59 Task 2 executes 
60 Task 2 executes 
61 Task 2 executes 
62 Task 2 executes 
63 Task 2 misses 
63 Task 1 executes 
64 Task 1 misses 
64 Task 1 executes 
65 Task 1 executes 
66 Task 1 executes 
67 Task 1 executes 
68 Task 1 executes 
69 Task 1 executes 
70 Task 1 executes 
70 Task 1 completed 
71 Task 2 executes 
72 Task 2 misses 
---------------------------------------------------------------------------
 The total Deadline miss -----> 14
